2023-12-13 20:42:51.161 INFO  5680 --- [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-12-13 20:42:51.235 INFO  5680 --- [main] com.pg.screen.PowerGridScreenApplication - Starting PowerGridScreenApplication using Java 1.8.0_92 on DESKTOP-J7GIHP0 with PID 5680 (G:\project\parttime\visualLargeScreenServe\visualLargeScreenServe\target\classes started by 12578 in G:\project\parttime\visualLargeScreenServe\visualLargeScreenServe)
2023-12-13 20:42:51.236 DEBUG 5680 --- [main] com.pg.screen.PowerGridScreenApplication - Running with Spring Boot v2.7.8, Spring v5.3.25
2023-12-13 20:42:51.238 INFO  5680 --- [main] com.pg.screen.PowerGridScreenApplication - No active profile set, falling back to 1 default profile: "default"
2023-12-13 20:43:08.847 INFO  5680 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2023-12-13 20:43:08.920 INFO  5680 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2023-12-13 20:43:08.922 INFO  5680 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-13 20:43:08.923 INFO  5680 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-12-13 20:43:10.292 INFO  5680 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-13 20:43:10.293 INFO  5680 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 18605 ms
2023-12-13 20:43:15.142 INFO  5680 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2023-12-13 20:43:15.246 INFO  5680 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2023-12-13 20:43:15.281 INFO  5680 --- [main] com.pg.screen.PowerGridScreenApplication - Started PowerGridScreenApplication in 26.348 seconds (JVM running for 39.284)
2023-12-13 20:43:20.653 INFO  5680 --- [http-nio-8001-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-12-13 20:43:20.654 INFO  5680 --- [http-nio-8001-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-12-13 20:43:20.657 INFO  5680 --- [http-nio-8001-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-12-13 20:43:24.131 INFO  5680 --- [http-nio-8001-exec-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-12-13 20:43:40.036 INFO  5680 --- [http-nio-8001-exec-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-12-13 20:43:40.222 DEBUG 5680 --- [http-nio-8001-exec-1] c.p.s.mapper.DefectLibraryMapper.selectListByQuery - ==>  Preparing: SELECT id, work_order_time, work_order_number, work_order_status, work_order_unit, operation_team, problem_type, defect_grade, defective_content, substation, owning_line, device_name, physical_id_number, device_type, family_defect, proposed_scheme, task_source, discovery_time, processing_time, process_description FROM DEFECT_LIBRARY WHERE processing_time BETWEEN ? AND ? AND work_order_status = ?
2023-12-13 20:43:44.468 DEBUG 5680 --- [http-nio-8001-exec-1] c.p.s.mapper.DefectLibraryMapper.selectListByQuery - ==> Parameters: 2023-01-03(LocalDate), 2023-01-05(LocalDate), 已消缺(String)
2023-12-13 20:43:48.586 DEBUG 5680 --- [http-nio-8001-exec-1] c.p.s.mapper.DefectLibraryMapper.selectListByQuery - <==      Total: 44
2023-12-13 20:43:48.599 INFO  5680 --- [http-nio-8001-exec-1] mybatis-flex-sql - SELECT id, work_order_time, work_order_number, work_order_status, work_order_unit, operation_team, problem_type, defect_grade, defective_content, substation, owning_line, device_name, physical_id_number, device_type, family_defect, proposed_scheme, task_source, discovery_time, processing_time, process_description FROM DEFECT_LIBRARY WHERE processing_time BETWEEN  '2023-01-03' AND '2023-01-05'  AND work_order_status = '已消缺',4130ms
2023-12-13 20:45:20.977 WARN  5680 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m8s634ms76µs600ns).
2023-12-13 20:46:20.498 WARN  5680 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=59s520ms853µs800ns).
2023-12-13 20:46:21.977 INFO  5680 --- [http-nio-8001-exec-1] com.pg.screen.common.AspectControllerTimeConsuming - getWorkOrder()方法的入参为：[null, null]，返回值为：HttpResult(success=true, message=ok, data=[], code=200)，耗时(ms):169
2023-12-13 21:14:51.770 INFO  2900 --- [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-12-13 21:14:51.778 INFO  2900 --- [main] com.pg.screen.PowerGridScreenApplication - Starting PowerGridScreenApplication using Java 1.8.0_92 on DESKTOP-J7GIHP0 with PID 2900 (G:\project\parttime\visualLargeScreenServe\visualLargeScreenServe\target\classes started by 12578 in G:\project\parttime\visualLargeScreenServe\visualLargeScreenServe)
2023-12-13 21:14:51.778 DEBUG 2900 --- [main] com.pg.screen.PowerGridScreenApplication - Running with Spring Boot v2.7.8, Spring v5.3.25
2023-12-13 21:14:51.779 INFO  2900 --- [main] com.pg.screen.PowerGridScreenApplication - No active profile set, falling back to 1 default profile: "default"
2023-12-13 21:14:55.434 INFO  2900 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2023-12-13 21:14:55.456 INFO  2900 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2023-12-13 21:14:55.457 INFO  2900 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-13 21:14:55.458 INFO  2900 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-12-13 21:14:56.106 INFO  2900 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-13 21:14:56.107 INFO  2900 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4134 ms
2023-12-13 21:15:00.776 INFO  2900 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2023-12-13 21:15:00.849 INFO  2900 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2023-12-13 21:15:00.883 INFO  2900 --- [main] com.pg.screen.PowerGridScreenApplication - Started PowerGridScreenApplication in 10.575 seconds (JVM running for 20.686)
2023-12-13 21:15:10.124 INFO  2900 --- [http-nio-8001-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-12-13 21:15:10.125 INFO  2900 --- [http-nio-8001-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-12-13 21:15:10.128 INFO  2900 --- [http-nio-8001-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-12-13 21:15:10.410 INFO  2900 --- [http-nio-8001-exec-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
